,명칭,주소,lat,lon,개요,문의 및 안내,쉬는날,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,상세정보
0,성산일출봉 [유네스코 세계자연유산],"제주특별자치도 서귀포시 성산읍 일출로 284-12
			",33.4581111174,126.9415156012,"해발 180m인 성산 일출봉은 약 5,000년 전 제주도 수많은 분화구 중에서는 드물게 바닷속에서 수중폭발한 화산체이다. 용암이 물에 섞일 때 일어나는 폭발로 용암은 고운  화산재로 부서져 분화구 둘레에 원뿔형으로 쌓여 있다. 원래는 화산섬이었지만 신양해수욕장 쪽 땅과 섬  사이에 모래와 자갈이 쌓여 육지와 연결이 된 것이다. 일출봉 정상에는 지름 600m, 바닥면의 높이 해발 90m에 면적이 214,400㎡(성산일출봉 분화구의 면적)나 되는 분화구가 자리한다. 이곳에서  이장호 감독의  영화 '공포의 외인구단'의 한 장면이 촬영되기도 했다. 농사를 짓기도  했는데 지금은 억새밭을 이루며 우도가 손에 잡힐 듯 보인다.<br /> 예로부터 이곳 성산일출봉 정상에서 바라보는 일출광경은 영주10경(제주의 경승지) 중에서 으뜸이라 하였다.  넘실대는 푸른 바다 저편 수평선에서 이글거리며 솟아오르는 일출은 온 바다를 물들이고 보는 이의 마음까지도 붙잡아 놓으며 보는 이로 하여금 저절로 감탄케 한다. 지방기념물로 관리하다 2000년 7월 19일 천연기념물로 지정된 곳이다.<br>",064-710-7923,매월 첫번째 월요일,09:00 ~ 18:00 (필요시에는 관람시간을 따로 정할 수 있음),주차비 무료,불가,불가,"화장실:있음
입 장 료:개인 - 성인 5,000원 / 청소년, 군인 2,500원 / 어린이 2,500원<br>
단체 - 성인 4,000원 / 청소년, 군인 2,000원 / 어린이 2,000원<br>
※ 단체 10인 이상,주차료 무료<br>
※ 어른(25세 이상~64세 이하), 청소년(13세 이상~24세 이하), 군인(제복을 입은 하사 이하의 군인/전경, 경비경 포함), 어린이(7~12세 이하)<br>
 ※ 면제(신분증 및 확인증 제시)<br>
 - 국빈, 외교사절단  및 수행자<br>
 - 6세 이하, 65세 이상<br>
 - 장애등급 1급부터 3급까지의 장애인과 보호자 1명<br>
 - 장애등급 4급부터 6급까지의 장애인 본인<br>
 - 국가·독립유공자, 5·18 민주·참전유공자<br>
 - 제주도민, 명예도민과 배우자 및 직계존비속<br>
 - 공무수행·학술연구 출입자 및 도지사가 인정하는 자 <br> - 그린카드 소지자(본인)
이용가능시설:종합상가, 파고라 등
주차요금:무료
외국어 안내서비스:중국어 안내 가능
한국어 안내서비스:자연유산해설사 안내 가능<br />
- 시간 : 09:00~17:00<br />
- 대기장소 : 탐방안내소<br />
- 문의처 : 064-710-7908, 064-783-0959
"
1,표선 해비치 해변,제주특별자치도 서귀포시 표선면 민속해안로(표선리),33.3256435401,126.8396357961,"서귀포시 표선면 표선리에 위치한 표선해수욕장은 총 면적 158,678m²(48,000여 평)의 해수욕장으로, 백사장 길이 200m, 폭 800m 다. 썰물 때에는 원형의 백사장을 이루고, 밀물 때에는 수심 1m 내외의 원형 호수처럼 되어 때에 따라 다른 분위기를 느낄 수 있으며 물이 빠진 단단한 백사장은 아이들이 놀기에도 알맞은 곳이다. 정면으로 볼 수 있는 일출이 유명하며, 백사장 모래는 조개껍데기가루로 형성된 것인데 신경통으로 고생하는 사람들이 모래찜질을 하면 특효를 보는 것으로 알려져 있다. 매년 8월이면 천혜의 아름다운 표선백사장을 소재로 다양한 프로그램과 알찬 내용이 담긴 표선해변백사대축제가 개최되고 있다. 편의시설로는 야영장, 주차장, 탈의장, 샤워장이 있으며 인근에 성읍민속마을과 제주민속촌이 있다.",064-740-6000,,,있음,없음,없음,"이용가능시설:파라솔, 샤워장, 매점, 근린공원 등
화장실:있음
"
2,도두동 무지개해안도로,"제주 제주시 도두일동  1734
			",33.5093895815,126.4724745846,"도두동 무지개 해안도로는 공항에서 차로 10분 거리에 있는 이색 도로다. 차량 추락을 막기 위해 해안도로를 따라 설치된 방호벽에 색을 입혀보자는 주민들의 의견을 반영하여 무지개색으로 칠했는데, 관광객들 사이에서 도두동 무지개 해안도로로 불리면서 명소가 되었다. 주변에는 해녀상을 비롯한 여러 조각상이 있어 구경하는 재미가 있고, 걸어서 이동이 가능한 곳에 도두봉이 있는데, 올레길 코스이면서 숨은 비경 중 하나이다. 경사가 완만하여 오르기 어렵지 않다.",064-740-6000,없음,상시개방,있음,없음,가능,"입 장 료:없음		

이용가능시설:올레길, 쉼터, 주차장
	

화장실:없음

주차요금:무료

"
3,방선문,제주특별자치도 제주시 오라이동39-1,33.4542936092,126.5169053039,"제주시를 관통하는 한천 상류 약 6km 지점에 효성이 지극한 나뭇꾼이 신선을 만났다는 전설을 가진 방선문(訪仙門)이 있다. 전설에 의하면 방선문은 신선세계로 통하는 문으로 신선세계와 인간세계의 경계로, 옛날 백록담에서는 매년 복날이면 하늘에서 선녀들이 내려와 목욕을 했는데 이때마다 한라산 산신은 방선문 밖 인간세계로 나와 선녀들이 하늘로 돌아갈 때까지 머물러 있어야만 했었다. 그런데 어느 복날 미처 방선문으로 내려오지 못한 한라산 산신이 선녀들이 목욕하는 모습을 훔쳐보고 말았고, 이에 격노한 옥황상제가 한라산 산신을 하얀 사슴으로 만들어 버렸다고 한다. 그 뒤 한라산 산신은 매년 복날이면 백록담에 올라가 슬피 울었고, 하얀 사슴의 연못이라는 백록담의 이름은 이 전설에서 유래한 것이다.
또한, 방선문 일대는 한국 고전문학 중 해학소설의 백미이자 판소리 열두마당의 하나인'배비장전'의 무대이기도 하다. 예부터 제주에 부임한 목사를 비롯한 지방관리뿐만 아니라 유배인까지 많은 선인들이 이곳에서 풍류를 즐겼고, 방선문 곳곳에는 그들이 남긴 마애명이 많이 남아 있는데'訪仙門' ,'登瀛丘'등을 비롯해 50여개의 마애명이 남아있다. 
철따라 아름다운 경치를 자아내지만 특히 봄철의 진달래꽃은 영주 12경의 하나로 꼽힐만큼 아름답다. 부근에는 높이 10m, 너비 30~50m의 오등동계곡이 있어 한결 운치를 더해준다.","제주관광정보센터 064-740-6000<br>
제주시 관광정책과 064-710-3314<br>
제주시 녹색환경과 064-728-2742<br>",,,주차 가능,불가,없음,"입 장 료:무료
화장실:있음
이용가능시설:참꽃산책로, 쉼터 등
"
4,용수항,"제주특별자치도 제주시 한경면 용수리 4234-4
			",33.3235608574,126.164963823,"용수항은 한경면 용수리에 위치한 소규모 어항으로, 용수리포구 또는 용수포구로 불리기도 한다. 제주올레 12코스의 종착지이자 13코스의 출발점인 지점이다. 용수항의 옛 이름은 쇠머리 코지 자락에 있는 포구라 하여 ‘우두포’라 했다. 용수항 앞바다에서는 제주도에서 가장 큰 무인도인 차귀도의 푸른 실루엣이 보인다. 포구의 양쪽으로는 마을을 지켜주는 방사탑이 우뚝 서 있는데, 해의 부리 모양과 닮았다고 하여 ‘매주제가’라고 불리는 탑이다. 한국 최초의 신부인 김대건 천주교 신부가 1845년 중국 상하이에서 사제 서품을 받은 뒤 귀국하다 풍랑을 만나 표류한 곳이 바로 용수항이다. 이후로 천주교 제주교구는 이곳을 성지로 선포하고, 2006년 11월 포구 앞에 김대건 신부 표착기념관을 세웠으며, 2008년 9월에는 기념관 옆으로 기념 성당을 조성하였다. 인근 관광 명소로는 가슴 절절한 이야기가 담긴 절부암, 제주의 무인도인 차귀도, 많은 사람이 즐겨 찾는 협재해수욕장 등이 있다.",064-773-1942 (용수리사무소),,상시 개방,표착기념관 주차장 이용,없음,가능,"이용가능시설:성김대건 신부 표착기념관
화장실:표착기념관 화장실 (남녀 구분)
내국인 예약안내:요트투어 예약 064-772-1321
"
5,갯깍주상절리대,제주 서귀포시 색달동(색달동),33.3005284487,126.4156981085,"갯깍의 ‘갯’은 바다를 뜻하고 ‘깍’은 끄트머리를 의미하는 제주어로 바다 끝머리에 있는 국내 최대 규모의 주상절리 구역이다. 높이가 각기 다른 사각형, 육각형 돌기둥들이 절벽처럼 보이는 기이하고 신비로운 모습을 바라보면 자연이 만들어낸 이 풍경이 얼마나 위대한지 느낄 수 있다. 해안절벽과 해식동굴의 낙석으로 인한 사고가 우려되는 지역이라 공식적으로 연중 출입통제 지역이나 해식동굴에서 찍는 사진이 SNS를 통해 인기를 끌어 블로그를 찾아보면 다들 어떻게 다녀왔는지 리뷰를 적을 정도이다. 금지된 것들이 더욱 유혹적인 법. 하지만 공식적으로 출입이 금지된 곳인 만큼 안전을 고려하여 거리를 두고 감상하는 것이 좋다.",064-740-6942,없음,상시 개방,있음 (예래해안로 357),없음,가능,"입 장 료:없음		

화장실:있음

"
6,구시물,"제주특별자치도 서귀포시 남원읍 서의로
			",33.2953976087,126.7120030906,"구시는 나무와 돌로 수로(水路)를 파 만든것을 말한다. 구시물은 성(城)동산  북쪽 기슭 샘물로 삼별초의 식수원이었다. 이 물을 보호하기 위하여 성(城)밖인데도, 외성(外城)을 쌓아 나무로 구시를 만들어, 깨끗이 관리하였고, 아무리 가뭄이 닥쳐도 마르지 않는  질 좋은 생수라서 콜레라가 유행할때도 고성은 한사람도 희생자가 없었다고 한다.<br>",064-740-6000,,,,없음,없음,
7,만장굴 (제주도 국가지질공원),제주특별자치도 제주시 구좌읍 만장굴길 182(구좌읍),33.5280478463,126.7706788052,"제주시 구좌읍 김녕리에 위치하는 만장굴은 전체길이 약 7,400 m, 최대 높이 약 25 m, 최대 폭 약 18 m로서 제주 세계자연유산의 한 부분인 거문오름용암동굴계(황상구 외, 2005)에 속하는 용암동굴이다. 특히 주 통로는 폭이 18m, 높이가 23m에 이르는 세계적으로도 큰 규모의 동굴이다. 전 세계에는 많은 용암동굴이 분포하지만 만장굴과 같이 수십만 년 전에 형성된 동굴로서내부의 형태와 지형이 잘 보존되어 있는 용암동굴은 드물어서 학술적, 보전적 가치가 매우 크다. 만장굴은 동굴 중간 부분의 천장이 함몰되어 3개의 입구가 형성되어 있는데, 현재 일반인이 출입할 수 있는 입구는 제2입구이며, 1㎞만 탐방이 가능하다. 만장굴 내에는 용암종류, 용암석순, 용암유석, 용암유선, 용암선반, 용암표석 등의 다양한 용암동굴생성물이 발달하며, 특히 개방구간 끝에서 볼 수 있는 약 7.6m 높이의 용암석주는 세계에서 가장 큰 규모로 알려져 있다.<br /><br /><출처 : 제주도세계지질공원><br>",제주도 국가지질공원 064-710-3945<br />관람문의 064-710-7903,매월 첫째주 수요일,"[관람시간] 09:00 ~ 18:00<br />
※ 입장마감 17:10<br />
해설사 운영 09:00 ~ 17:00(무료이며, 현장에서 신청)","가능 (대형 60대, 소형 75대)",없음,불가,"화장실:있음
주차요금:무료
입 장 료:개인 - 성인 4,000원 / 청소년, 군인 2,000원 / 어린이 2,000원<br />
단체 - 성인 3,000원 / 청소년, 군인 1,500원 / 어린이 1,500원<br />
※ 단체 10인 이상<br />
※ 어린이(7~12세), 청소년(13~24세), 군인(하사 이하의 군인/전투경찰, 경비교도 포함), 어른(25~64세)<br />
한국어 안내서비스:<strong>세계자연유산해설 / 만장굴 </strong><br />
- 운영시간 : 10:00 ~ 16:00 (매시 정각 출발 / 1시간 소요)<br />
- 해설대상 : 탐방객 누구나 <br />
- 해설내용 : 세계자연유산 거문오름 용암동굴계의 생성 및 지질학적 특징, 만장굴 내부의 동굴생성물 소개 등<br />
"
8,화조원,"제주특별자치도 제주시 애월읍 애원로 804
			",33.4113377321,126.3720160859,"화조원은 높은 하늘에 떠있는 매, 밤중에 눈을 밝히고 있는 올빼미, 오색의 매력을 가진 앵무새, 하얀솜털의 귀여운 알파카 등 늘 멀리서 지켜볼 수 밖에 없었던 다양한 새들과, 소형 동물들을 직접 체험 할 수 있다. 맹금류체험, 알파카체험, 앵무새체험, 잉꼬새체험, 물새먹이주기체험, 뿔닭,백비둘기,맹금류 자유비행 관람등 다양한 체험프로그램이 운영되고 있다.",064-799-9988,연중무휴,"하절기 (4월~10월) / 09:00 ~ 18:00 (입장마감 17:00)<br />
동절기 (11월~3월) / 09:00 ~ 17:30 (입장마감 16:30)<br />
맹금류 / 호로조 비행공연 시간 : 11:00 / 13:00 / 15:00 / 16:30",있음(소형 150대 / 버스 30대),가능,불가,"촬영장소:SBS동물농장 촬영지, 제주MBC 촬영지, Jibs 촬영지

상점정보:화조원 내의 올빼미카페 에서는, 카페안에서 살고있는 올빼미와함께 다양한 음료와 디저트, 기념품을 판매하고있습니다.

입 장 료:성인(19~64세) - 개인 18,000원 / 단체 14,400원(10인이상)<br />
청소년(13~18세) - 개인 16,000원 / 단체 12,000원(10인이상)<br />
어린이(36개월~12세) - 개인 14,000원 / 단체10,500원 (10인이상)<br />
※ 단체 10인 이상<br />                                                                    
※ 무료 - 36개월 미만 어린이
주차요금:무료

화장실:있음

한국어 안내서비스:각 체험 구역마다, 화조원 사육사가 직접 해당 동물에 대하여 설명진행 및 안내

내국인 예약안내:화조원 네이버예약시스템 운영중<br /> (https://booking.naver.com/booking/5/bizes/160445)
"
9,마라도 가파도 정기여객선,"제주특별자치도 서귀포시 대정읍 최남단해안로 120
			",33.210094298,126.2583887734,"아름다운 섬나라는 마라도 가파도 정기여객선으로 2017년 7월 모슬포항(북항)에서 운진항(모슬포 남항)으로 여객항을 이전하여 마라도와 가파도를 정기 운행하고 있다.<br><br>* 마라도<br>- 소재지 : 서귀포시 대정읍 마라리 운진항 (기점11km, 가파도 기점 5.5km)<br>- 크기 : 동서길이 500m, 남북길이 1.3km, 섬둘레 4.2km<br>- 보호구역 : 전체면적의 85%, 천연기념물 (지정일 2000년 7월)<br>- 볼거리 : 대한민국 최남단비, 가파른 절벽과 해식동굴, 제주도 남서쪽 해안 전망으로 산방산, 형제섬, 한라산 등이 어우러진 광경, 장군바위, 대문바위, 애기업개당 등 자연화산 생서울<br>- 기타시설물 : 태양광발전소, 등대, 기원정자, 마라분교 등<br><br>* 가파도<br>- 소재지 : 서귀포시 대정읍 하모리 (운진항에서 남쪽으로 2.2km 해상)<br>- 크기 : 해안선길이 4.2km, 최고점 20.5m<br>- 볼거리 : 소망전망대, 할망당(상동,하동), 돈물깍, 보름바위(큰왕돌), 까마귀돌(동산), 고냉이돌, 고인돌군락지 등<br>- 먹거리 : 해산물정식, 보말칼국수, 짬뽕, 성게국, 가파도핫도그 등<br>",064-794-5490,연중무휴,※ 운항정보는 홈페이지 또는 전화로 확인 요망,,없음,없음,
