,명칭,주소,lat,lon,개요,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,부대 시설,상세정보
0,제이뷰호텔,"제주특별자치도 서귀포시 중산간서로 935
			",33.2647796319,126.4165182808,"j. view라는 네이밍에서도 느낄수 있듯이 한적하고 잔잔함을 가진 서귀포 중산간 자연속에서 탁트인 제주의 바다 전망을 보며 답답함을 떨쳐낼 수 있는 곳에 위치해 있다. 온돌 한실이 있어 어린 자녀를 동반한 가족단위나 나이가 많으신 어르신들께서도 편하게 쉴수 있는 가족호텔이다.
인근 골프장들과의 연계로 투숙객을 위한 골프특가도 진행하고 있으며, 휴식과 레저를 한번에 즐기길 원하신다면 더할나위 없이 좋은 곳이다. 항상 고객을 가족과 같이 맞이하며 편안하고 힐링할 수 있는 호텔이 되도록 노력하고 있다.",주차 가능(26대),불가,15:00,11:00,064-739-5200,"<a href=""http://www.jviewhotel.com/"" target=""_blank"" title=""새창 : 제이뷰호텔 홈페이지로 이동"">http://www.jviewhotel.com/</a>",,"로비 라운지, 휴게실(3F), 세미나실","객실명:D타입 특실
객실크기:25평
객실수:3
기준인원:4최대인원:6
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:C타입 디럭스
객실크기:15평
객실수:24
기준인원:3최대인원:3
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:A타입 스탠다드
객실크기:12평
객실수:6
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:B타입 한실
객실크기:12평
객실수:4
기준인원:2최대인원:3
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
"
1,샤이니호텔,"제주특별자치도 제주시 구좌읍 송당4길 7
			",33.4707099625,126.7842817191,"세계7대 자연경관으로 선정된 제주도 제주시에 위치한 샤이니호텔은 가족호텔 & 게스트하우스이다. 샤이니호텔은 가격의 거품을 빼기 위해 기본 서비스만을 제공하여 저렴한 요금으로 여행객들을 맞이한다. 제주도의 관광지로는 한라산과 성산일출봉, 천지연폭포와 정방폭포, 우도 등 헤아리기 힘들만큼 많은 곳이 있으며 신선한 회와 흑돼지 등 먹거리도 풍부하다.",주차 가능,불가,15:00,11:00,064-783-5089,,,,"객실명:싱글+싱글
객실크기:8평
객실수:15
기준인원:2최대인원:2
※ 객실요금 전화문의 요망
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:객실명:더블+더블
객실크기:10평
객실수:4
기준인원:2최대인원:4
※ 객실요금 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:객실명:더블+싱글
객실크기:10평
객실수:3
기준인원:2최대인원:3
※ 객실요금 전화문의 요망
비수기주중최소:40500(성수기: 0)
비수기주말최소:40500(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:"
2,뉴아일랜드 관광호텔,"제주특별자치도 제주시 연동6길 17
			",33.4843148499,126.4894292343,"제주의 중심지에 위치한 뉴아일랜드 관광호텔은 고객의 감동과 품격높은 서비스와 정성으로 ""감동의 호텔""로 기억될 수 있도록 고객 한분 한분 소중히 여기고 편의와 감동을 드리기 위해 노력하고 있다. 극진한 서비스와 우아한 시설을 갖춘 각종 부대시설과 아늑한 객실은 비즈니스 여행자나 휴양객들에게 내 집 같은 편안함을 주고있다.<br>",주차가능,불가,14:00,12:00,070-7777-9800,,,연회장,
3,볕들이펜션,"제주특별자치도 서귀포시 성산읍 일출로 284-4
			",33.4626966191,126.9351688235,"볕들이펜션은 세계적인 자랑 성산일출봉 바로 아래에 위치하여 어디에서나 아침에 눈을 뜨면 성산일출봉의 아름다운 경관을 한눈에 볼 수 있게 건축되었다.
건축물의 외관은 노출콘크리트를 바탕으로 고급 목재 사이딩 재료를 벽면에 시공함으로써 현대적이고 도시적인 이미지를 강조하였다. 실내는 창문을 통해 일출봉의 경관을 한눈에 볼 수 있으며 고급스러운 인테리어 소재를 사용하여 방문하여 생활하시는 분들에게 편안하고 안락한 분위기를 제공하조가 최선을 다했다.",주차가능,가능,15:00,11:00,010-3408-6767,,,,"객실명:광치기
객실크기:12평
객실수:1
기준인원:2최대인원:4
※ 위 정보는 2020년 09월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 150000)
비수기주말최소:70000(성수기: 150000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:통밭알
객실크기:15평
객실수:1
기준인원:3최대인원:5
※ 위 정보는 2020년 09월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:80000(성수기: 180000)
비수기주말최소:90000(성수기: 180000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:수마포/우뭇개/오정개
객실크기:12평
객실수:3
기준인원:2최대인원:4
※ 위 정보는 2020년 09월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 150000)
비수기주말최소:70000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
"
4,JJ하우스,"제주특별자치도 서귀포시 중산간서로 241
			",33.2605478564,126.4856512683,"JJ하우스는 청정환경, 전통문화, 동계스포츠훈련장, 휴양관광지가 집중된 서귀포시에 위치하고 있다. 펜션 주변에 집중된 관광지와 골프장, 종합운동장, 옥빛바다, 배후에 한라산이 있다.<br>JJ하우스는 친환경소재인 천연옥을 원석상태로 가공하여 건축자재로 사용하였으며 내벽과 외벽에도 옥을 분말로 만들어 마감한 친환경 건강펜션이다. 중문관광단지, 산방산, 마라도, 중문해수욕장, 여미지, 천지연폭포, 각종 박물관 등이 10km이내에 있어 접근성이 뛰어나다.",주차 가능,가능,15:00,12:00,064-739-7891,"<a href=""http://www.ijjhouse.com"" target=""_blank"" title=""새창 : jj하우스 홈페이지로 이동"">http://www.ijjhouse.com</a>",,"잔디마당, 바베큐장, 골프장, 유아풀장","객실명:17평 싱글
객실크기:17평
객실수:8
기준인원:2최대인원:4
※ 객실 가격은 전화문의 요망
비수기주중최소:55000(성수기: 90000)
비수기주말최소:55000(성수기: 90000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:35평 A
객실크기:30평
객실수:4
기준인원:6최대인원:8
※ 객실 가격은 전화문의 요망
비수기주중최소:100000(성수기: 140000)
비수기주말최소:100000(성수기: 140000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:17평 트윈
객실크기:17평
객실수:8
기준인원:2최대인원:4
※ 객실 가격은 전화문의 요망
비수기주중최소:65000(성수기: 100000)
비수기주말최소:65000(성수기: 100000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:35평 B
객실크기:30평
객실수:3
기준인원:6최대인원:8
※ 객실 가격은 전화문의 요망
비수기주중최소:120000(성수기: 160000)
비수기주말최소:120000(성수기: 160000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
"
5,레이크힐스 제주리조트,"제주특별자치도 서귀포시 존제로 24 레이크힐스
			",33.2673009504,126.3768466663,"서귀포 앞바다와 한라산의 비경이 한눈에 보이는 레이크힐스 제주리조트는 플레이에 지장을 주지 않을 만큼의 적당한 바람과 따듯한 날씨로 일 년 내내 플레이가 가능한 골프코스를 갖추고 있다. 용존산소량이 많아 생체리듬에 가장 좋은 해발 400미터 지점에 조성된 레이크힐스 제주리조트는 40만 평의 대지에 27홀 국제적 규모의 아일랜드 풍의 코스 구성을 자랑한다. 또한 한라산의 비경과 시원한 태평양 사이의 완만한 경사면에 원시림과 화산석, 평원, 호수와 폭포 등이 멋지게 어우러지는 곳이다.
게다가 골프 플레이 흐름이 정체되지 않도록 고려한 파 배열, 평균 경사도 10퍼센트 이하의 완만한 정남향 코스를 갖추고 있다. 객실은 30평형, 50평형으로 구성되어 있으며 넉넉한 여유를 느낄 수 있는 객실에는 다양한 최신 설비를 갖추고 있고 고객을 한 번 더 생각하는 서비스를 통해 편안하게 머무를 수 있도록 편의를 제공하고 있다.",주차가능,가능,15:00,11:00,1588-8810,"<a href=""http://lakehills.co.kr/r_jj"" target=""_blank"" title=""새창 : 레이크힐스 골프텔 제주 홈페이지로 이동"">http://lakehills.co.kr/r_jj</a>",,"로비라운지, 피트니스센터, 골프연습장, 노래연습장","객실명:Suite Double
객실크기:30평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:350000(성수기: 0)
비수기주말최소:350000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:Suite Family Room
객실크기:30평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:380000(성수기: 0)
비수기주말최소:380000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:Royal Suite
객실크기:50평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:600000(성수기: 0)
비수기주말최소:600000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:Suite Twin
객실크기:30평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:350000(성수기: 0)
비수기주말최소:350000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:Suite Typical Korean
객실크기:30평
객실수:0
기준인원:4최대인원:4
※ 위 정보는 2021년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:380000(성수기: 0)
비수기주말최소:380000(성수기: 0)
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
"
6,산들애풀하우스,"제주특별자치도 서귀포시 성산읍 서성일로 689-8
			",33.429821212,126.8572041127,"산들애풀하우스는 성산일출봉과 섭지코지, 성읍민속마을 등 동부 관광지와 10분 거리에 위치해 있다. 펜션의 사방이 트여있어서 답답하지 않고 시원한 뷰를 감상할 수 있다.",,가능,15:00,11:00,064-784-1988,"<a href=""http://sanfullhouse.com/"" target=""_blank"" title=""새창 : 산들애풀하우스 홈페이지로 이동"">http://sanfullhouse.com/</a>",,야외바베큐장,"객실명:다랑쉬, 사려니, 따라비, 용눈이
객실크기:0평
객실수:4
기준인원:0최대인원:0
※ 위 정보는 2021년 09월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:65000(성수기: 0)
비수기주말최소:65000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
객실명:좌보미
객실크기:18평
객실수:1
기준인원:6최대인원:6
※ 위 정보는 2021년 09월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:120000(성수기: 0)
비수기주말최소:120000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:모구리
객실크기:15평
객실수:1
기준인원:2최대인원:5
※ 위 정보는 2021년 09월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:드라이기:Y
"
7,메리어트관 제주신화월드 호텔 앤 리조트,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38
			",33.3050013908,126.3163621886,"세계적 호텔 체인인 메리어트와 파트너십을 통하여 선보이는 고품격 럭셔리 리조트
제주신화월드 호텔 앤 리조트의 중심부에 위치한 메리어트관 제주신화월드 호텔 앤 리조트는 총 527개의 객실을 보유하며, 이스트 2동과 웨스트 2동으로 구분되는 전체 객실 중에서 30%는 커넥팅룸으로 구성해서 친구들끼리 함께 여행하기에도 좋다. 6층에 위치한 객실 중 프리미어 이상의 객실에는 욕실에 히노끼탕을 설치하여 특별함을 더했다.
제주의 성산일출봉을 모티브로 한 '모실' 에는 실내외 수영장이 연결되는 25m 길이의 랩풀, 어린이 전용 수영장 및 놀이터, 야외 풀 등이 있으며 7개의 전용 트리트먼트룸을 갖춘 스파, 실용적인 크기의 피트니스 센터와 사우나로 건강과 휴식을 동시에 제공한다. 또한 전망 좋은 스카이 온 파이브 그릴(Sky on 5 Grill)과 세계적인 명성의 셰프들의 참여한 품격있는 파인 다이닝 레스토랑도 운영한다.",주차가능,불가,15:00,12:00,,"<a href=""http://www.shinhwaworld.com"" target=""_blank"" title=""새창: 제주신화월드 호텔 앤 리조트"">http://www.shinhwaworld.com</a>",공항↔리조트 무료셔틀 운행,"수영장, 에스테틱&스파, 사우나, 휘트니스 등","객실명:프리미어 트윈
객실크기:40평
객실수:138
기준인원:4최대인원:4
※ 객실 가격은 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:프레지덴셜 스위트
객실크기:121평
객실수:4
기준인원:4최대인원:4
※ 객실 가격은 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:디럭스 킹
객실크기:37평
객실수:172
기준인원:4최대인원:4
※ 객실 가격은 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:디럭스 패밀리 트윈
객실크기:37평
객실수:173
기준인원:4최대인원:4
※ 객실 가격은 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:프리미어 킹
객실크기:40평
객실수:120
기준인원:4최대인원:4
※ 객실 가격은 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:디럭스 스위트
객실크기:81평
객실수:20
기준인원:4최대인원:4
※ 객실 가격은 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
"
8,휘닉스 제주 섭지코지,"제주특별자치도 서귀포시 성산읍 섭지코지로 107
			",33.430250088,126.9280674087,"천혜의 자연과 비일상의 즐거움이 공존하는 휘닉스 제주 섭지코지는 숙박, 휴양, 레져, 문화가 공존하는 친환경 해양 종합리조트로, 리조트 면적만 66만㎡로 바다를 향해 호리병 모양으로 뻗어 있는 섭지코지 전체를 아우르는 규모로 세계자연문화유산 성산일출봉과 마주하고 있다.<br>세계적인 건축거장 안도다다오가 직접 설계한 글라스하우스, 지니어스로사이 및 마리오보타의 아고라 등 현대 건축 작품들을 만날 수 있다. 콘도미니엄은 34평형 실, 54평형 실 등 총 300여 실로 구성되어 있으며 실내·외 수영장과 해양레포츠센터, 테라피센터, 로비라운지(섭지), 한식당(일출봉), 노래방(콩콩)과 가요주점(문라이트) 등의 부대시설을 비롯한 편의점(CU)와 PC방, 테디베어, 허브, 기념품샵 등의 편의시설을 갖추고 있다. 휘닉스 제주의 유원지인 ‘섭지코지’ 의 해안 절경을 만끽할 수 있음은 물론, 전동카트, 자전거, 해마열차, 꽃마차 등 레포츠 시설도 마련되어 있다.",주차 가능,가능,14:00,11:00,1577-0069<br />064-731-7000,"<a href=""http://phoenixhnr.co.kr"" target=""_blank"" title=""새창 : 휘닉스 홈페이지로 이동"">http://phoenixhnr.co.kr</a>",,"연회장, 비즈니스센터, 실내·외 수영장, 사우나, 테라피, 골프퍼팅장, 노래방, PC방, 편의점","객실명:로얄 스위트
객실크기:54평
객실수:50
기준인원:6최대인원:0
※ 객실요금 홈페이지 또는 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:로얄
객실크기:33평
객실수:253
기준인원:4최대인원:0
※ 객실요금 홈페이지 또는 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
"
9,용산 제주유스호스텔,제주특별자치도 서귀포시 이어도로 297(하원동),33.2434491956,126.4509463268,"용산 제주유스호스텔은 용산구민은 물론 국내외 관광객 및 제주도로 수학여행을 떠나는 청소년들을 위해 쾌적하고 품격있는 휴양시설을 제공하고 있다.
이용금액이 저렴할 뿐만 아니라 사회적 약자(장애인, 수급자, 소년소녀가장, 어르신)를 위한 감면을 실시하고 있다. 
용산 제주유스호스텔은 제주도 관광의 중심인 서귀포 중문관광단지 인근에 위치하여 천혜의 자연환경과 휴양, 교육, 체험에 최적화 되어 있으며 노래방, 포켓볼, 탁구장, 세미나실, 감귤체험농장, 바비큐장 등 다양한 부대시설을 갖추고 있다.",주차 가능,가능,15:00,12:00,064-738-9502~4,"<a href=""http://www.yongsanjejuyh.com"" target=""_blank"" title=""새창 : 용산 제주유스호스텔 홈페이지로 이동"">https://www.yongsanjejuyh.com</a>",,"세미나실, 매점, 정보열람실, 어린이놀이공간, 노래방, 탁구장, 족구장(배드민턴 겸용)","객실명:10평형
객실크기:10평
객실수:12
기준인원:2최대인원:2
※ 위 정보는 2021년 03월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:60000(성수기: 78000)
비수기주말최소:60000(성수기: 78000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:15평형
객실크기:15평
객실수:6
기준인원:2최대인원:5
※ 위 정보는 2021년 03월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:70000(성수기: 91000)
비수기주말최소:70000(성수기: 91000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:20평형
객실크기:20평
객실수:20
기준인원:4최대인원:6
※ 위 정보는 2021년 03월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:80000(성수기: 104000)
비수기주말최소:80000(성수기: 104000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:25평형
객실크기:25평
객실수:6
기준인원:4최대인원:8
※ 위 정보는 2021년 03월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 130000)
비수기주말최소:100000(성수기: 130000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:28평형
객실크기:28평
객실수:1
기준인원:6최대인원:10
※ 위 정보는 2021년 03월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:120000(성수기: 156000)
비수기주말최소:120000(성수기: 156000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:Y
취사용품:Y
테이블:Y
드라이기:Y
"
