,명칭,주소,lat,lon,개요,문의 및 안내,주차 시설,영업시간,쉬는날,대표메뉴,취급메뉴,상세정보
0,카페 아오오,"제주특별자치도 서귀포시 성산읍 환해장성로 75
			",33.3791188448,126.8799727482,"성산 일출봉에서 표선해수욕장 해안도로를 따라가면 보이는 카페 아오오가 있다. Out of Ordinary의 줄임말로 일상을 벗어나 천혜의 경관을 만끽하는 공간이라는 의미로 붙여졌다. 2020년 건축상을 받은 카페아오오의 인테리어는 전체적으로 모던함과 심플한 느낌을 준다. 바다 뷰가 보이는 곳의 카페에 방문하게 되면 창가 쪽은 자리가 거의 없어 종종 눈치 싸움을 하기 일쑤인데 카페아오오는 2층을 전체 통유리로 하여 모든 사람이 창을 통해 제주 바다를 볼 수 있게 테이블 배치를 해놓았다. 카페 중앙에는 1, 2층을 연결하여 심은 긴 대나무도 볼 수 있다.  조용하고 여유 있게 제주 바다를 즐기고 싶다면 성산에 있는 카페 아오오를 추천한다.",064-782-0007,주차가능,09:00 - 21:00 (라스트오더 20:00),,"올디 쇼콜라, 올디 제주","구절초차, 제주말차라떼, 상하목장 밀크쉐이크, 빵, 케이크 등","부대시설:단체석, 주차장, 화장실
화장실:가능
"
1,어니스트밀크 본점,"제주특별자치도 서귀포시 성산읍 중산간동로 3147-7
			",33.450441394,126.8718968106,"어니스트 밀크는 카페에서 2km 떨어진 한아름 목장에서 직접 가져오는 신선한 원유로 만든 밀크쉐이크, 요거트, 치즈를 맛볼 수 있는 카페다. 건물의 외관은 우유 패키지를 형상화하여 아이들이 좋아하며 매장 내부는 깔끔한 인테리어와 통유리로 된 창으로 성산 일출봉을 볼 수 있다. 또한 목장을 함께 운영하여 카페 방문객들에게 무료로 송아지 우유 주기 체험을 진행한다. 시간은 오전 11시, 오후 2시, 오후 4시로 시간대별 선착순 3팀만 현장 방문 예약을 받는다.",070-7722-1886,주차가능,10:00 - 18:00,,"순수 밀크 아이스크림, 목장 우유","스팀 밀크, 밀크 쉐이크, 송아지 쿠키, 크림 치즈 컵케이트 등","부대시설:주차장, 화장실
화장실:가능
"
2,공천포식당,"제주특별자치도 서귀포시 남원읍 공천포로 89
			",33.266419143,126.6425958686,"공천포식당은 잔잔하고 검은 모래가 있는 서귀포의 공천 포구 인근에 자리 잡은 한식당이다. 된장과 고춧가루를 넣어 맛을 낸 시원한 육수에 깻잎과 김 가루로 감칠맛을 더한 물회가 유명하다. 해삼, 한치, 소라 중 원하는 재료를 골라 주문하면 커다란 대접에 시원한 물회와 정갈한 밑반찬, 밥 한 공기가 함께 나와 푸짐한 한 상이 차려진다. 이외에도 고등어구이와 전복죽 등 제주 특산요리가 맛이 훌륭해 현지인들은 물론 관광객들에게도 맛집으로 입소문이 난 곳이다.",064-767-2425,있음,10:00 ~ 19:30,목요일,"한치물회, 전복물회","전복죽, 갈치조림, 갈치국, 고등어조림 등","부대시설:단체석, 주차장, 화장실

"
3,도라지식당,"제주특별자치도 제주시 연삼로 128
			",33.4927114054,126.50594983,"※ 영업시간 09:00 ~ 21:00

제주토속음식 전문점으로 제주가 아니면 맛볼 수 없는 갈치 호박국, 싱싱한 생선에 미역을 곁들인 옥돔국과 갈치구이, 옥돔구이가 일품이다. 여름철엔 물회역시 일품이다. 30여 년을 함께 한 시청 도라지식당은 더 넓은 주차공간과 좋은 시설, 지리적 조건 등을 고려해 공항근처로 확장 이전하여 운영하고 있다.",064-722-3142,주차 가능,09:00 ~ 21:00,화요일,갈치구이 / 갈치조림,갈치구이 / 갈치조림 / 고등어구이 / 전복죽 / 해물뚝배기 외,"화장실:남녀개별 / 업소 내부 위치
"
4,인디언키친,"제주특별자치도 제주시 애월읍 애원로 191
			",33.4504383126,126.3309743324,"할랄 식단과 기도실이 마련되어 있으며, 인도 현지인 셰프가 요리하는 정통 인도 음식점이다.",064-799-5859,가능,11:30 ~ 21:00,,양갈비,양갈비 / 새우커리 / 탄두리치킨 외,
5,백리향,"제주특별자치도 제주시 조천읍 신북로 244
			",33.5370169503,126.6384400846,"제주의 동부에 자리한 함덕 해수욕장 근처에 가성비 좋은 백반집, 백리향이 있다. 가정식 백반집으로, 갈치구이와 옥돔구이 메뉴도 만나볼 수 있다. 정식 메뉴에는 된장찌개와 제육볶음, 생선구이 등이 함께 나온다. 가정식 백반답게 주인장만의 정겨운 손맛이 느껴지는 메뉴들이다. 저렴한 가격에 푸짐한 한 상이 차려져 현지 도민들이 많이 찾는다. 주차장은 따로 마련되어 있지 않으며, 근처 마트의 주차장을 이용하거나, 골목 혹은 공용 주차장을 이용하면 된다.",0507-1394-9600,없음 (골목),08:00 ~ 20:00,없음,백반정식,"갈치구이, 옥돔구이 등","화장실:있음 (남녀 구분)

"
6,버드나무집,"제주특별자치도 제주시 조천읍 신북로 540
			",33.5413197163,126.6673958034,"함덕해수욕장 근처에 있는 버드나무집은 손칼국수로 유명한 맛집이다. 메뉴는 해물손칼국수, 매생이손칼국수, 들깨칼국수가 있으며, 한 테이블당 한 메뉴로 통일하여 주문을 받고 있다. 이곳의 특징은 손으로 반죽한 얇고 넓은 칼국수 면과 싱싱한 해물로 우려낸 육수다. 시원하고 깔끔한 국물 덕분에 해장하기 위해 찾아오는 단골들이 많다. 청양고추가 들어간 다진 양념으로 맵기도 조절할 수 있어 얼큰하게 즐기고 싶다면 요청하면 된다. 브레이크 타임은 3시부터 5시다.",064-782-9992,주차가능,10:00 ~ 21:00 (브레이크타임 15:00 ~ 17:00),목요일,해물손칼국수,"매생이굴손칼국수, 들깨손칼국수","부대시설:주차장, 화장실, 무선인터넷
화장실:가능 (남녀구분)
"
7,성읍타운식당,"제주특별자치도 서귀포시 표선면 성읍민속로 191
			",33.392988186,126.7961602462,"성읍민속마을 입구에 위치한 음식점이다. 1층과 2층으로 되어 있으며 좌석 전체가 테이블과 의자로 되어 있다. 제주 흑돼지 불고기가 주메뉴이고 제주 갈치, 고등어, 옥돔 등도 인기 있는 메뉴다.",064-787-8005,주차 가능,09:00 ~ 16:00,연중무휴,흑돼지불고기정식,흑돼지불고기정식 / 갈치조림 / 성게미역국 외,"화장실:남녀개별 / 업소 외부 위치
"
8,송당나무,"제주특별자치도 제주시 구좌읍 송당5길 68-140
			",33.4769510167,126.7890922698,"제주시 송당리에 위치한 송당나무는 꽃과 식물이 가득한 가드닝 센터다. 강수량이 많은 송당리는 식물이 자라기 좋은 환경으로 귤 농사 대신 조경수 재배를 가장 많이 하는 동네로 알려져 있다. 허브, 야자나무, 선인장 등 온갖 식물이 가득한 온실 내부에서 에이드, 커피 등 차 한 잔을 즐기며 여유를 느낄 수 있다. 비정기적으로 가드닝 수업을 진행하며 인스타그램에서 확인할 수 있다.",010-9364-2819,주차 가능,10:00 ~ 18:00,연중무휴,커피 / 에이드,커피 / 에이드 / 홍차 / 허브차 외,
9,랜딩 라운지,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38
			",33.3049513971,126.3164038528,"랜딩관 제주신화월드 로비 옆에 위치한 음악과 피아노 선율을 감상할 수 있는 라운지이다. 피아노 연주를 들으며 칵테일을 음미하는 여유, 제주신화월드 랜딩 리조트관 지하 1층에 위치한 랜딩 라운지에서는 부드러운 피아노 선율과 라이브 음악이 울린다. 오픈된 원형 구조의 카페바에서 음료나 디저트, 핑거푸드와 스낵류를 주문하면 널찍한 라운지에서 드실 수 있다. 가족과 휴식을 취할 때도 편하게 이용 가능하다. 비즈니스, 친교 등 다양한 목적의 만남을 가지거나 음악을 들으며 휴식을 취하기에 좋다.",064-908-2400,주차 가능,11:00 ~ 22:00,연중무휴,아메리카노 /치킨버거,"아메리카노 / 치킨버거 / 아이스 아메리카노 / 에스프레소 / 카페 라떼, 카푸치노 외","부대시설:공용주차장, 화장실, 무료 WIFI, 흡연구역, 편의점, 음료대, 유도 및 안내 시설, 경보 및 피난 시설, 노키즈존
"
